Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 1.513780e+000  4.119385e+001  1.321372e+000
 1.516420e+000  4.151131e+001  1.330167e+000
 1.519050e+000  4.168094e+001  1.324790e+000
 1.521690e+000  4.093575e+001  1.331561e+000
 1.524320e+000  4.226644e+001  1.328224e+000
 1.526960e+000  4.163041e+001  1.345235e+000
 1.529590e+000  4.132786e+001  1.322555e+000
 1.532230e+000  4.105161e+001  1.311104e+000
 1.534860e+000  4.058036e+001  1.295973e+000
 1.537500e+000  3.957250e+001  1.286034e+000
 1.540130e+000  4.005369e+001  1.270037e+000
 1.542770e+000  4.065211e+001  1.275959e+000
 1.545400e+000  3.997013e+001  1.263639e+000
 1.548040e+000  3.922339e+001  1.258607e+000
 1.550670e+000  3.939392e+001  1.256288e+000
 1.553300e+000  3.957365e+001  1.246005e+000
 1.555940e+000  3.976192e+001  1.248538e+000
 1.558570e+000  3.908399e+001  1.244491e+000
 1.561210e+000  3.900302e+001  1.241752e+000
 1.563840e+000  3.922794e+001  1.235655e+000
 1.566480e+000  3.791606e+001  1.228457e+000
 1.569110e+000  3.733542e+001  1.217620e+000
 1.571750e+000  3.695553e+001  1.223515e+000
 1.574380e+000  3.704828e+001  1.208064e+000
 1.577020e+000  3.570341e+001  1.206904e+000
 1.579650e+000  3.490529e+001  1.192137e+000
 1.582290e+000  3.595640e+001  1.209767e+000
 1.584920e+000  3.539953e+001  1.195526e+000
 1.587560e+000  3.539783e+001  1.195152e+000
 1.590190e+000  3.601493e+001  1.202006e+000
 1.592820e+000  3.728742e+001  1.199816e+000
