 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.122031E+01  0.841280E+05  0.371622E+04
  0.122256E+01  0.796840E+05  0.372211E+04
  0.122481E+01  0.911400E+05  0.372428E+04
  0.122706E+01  0.862920E+05  0.370273E+04
  0.122931E+01  0.813360E+05  0.372953E+04
  0.123156E+01  0.798600E+05  0.369564E+04
  0.123381E+01  0.790040E+05  0.370572E+04
  0.123606E+01  0.800320E+05  0.369658E+04
  0.123831E+01  0.755320E+05  0.370681E+04
  0.124056E+01  0.705880E+05  0.371544E+04
  0.124281E+01  0.725800E+05  0.366519E+04
  0.124506E+01  0.763280E+05  0.367301E+04
  0.124731E+01  0.775960E+05  0.366955E+04
  0.124956E+01  0.798800E+05  0.369258E+04
  0.125181E+01  0.797280E+05  0.369437E+04
  0.125406E+01  0.831440E+05  0.365043E+04
  0.125631E+01  0.714280E+05  0.369176E+04
  0.125856E+01  0.721240E+05  0.365653E+04
  0.126081E+01  0.662640E+05  0.365785E+04
  0.126306E+01  0.721160E+05  0.365577E+04
  0.126531E+01  0.686600E+05  0.365714E+04
  0.126756E+01  0.724160E+05  0.368067E+04
  0.126981E+01  0.715520E+05  0.364354E+04
  0.127206E+01  0.688480E+05  0.366250E+04
  0.127431E+01  0.678320E+05  0.361749E+04
  0.127656E+01  0.689560E+05  0.366590E+04
  0.127881E+01  0.738960E+05  0.366116E+04
  0.128105E+01  0.654480E+05  0.362010E+04
  0.128330E+01  0.588480E+05  0.364673E+04
  0.128555E+01  0.653000E+05  0.361260E+04
  0.128780E+01  0.689800E+05  0.366385E+04
  0.129005E+01  0.627800E+05  0.362891E+04
  0.129230E+01  0.687880E+05  0.361637E+04
  0.129455E+01  0.579000E+05  0.364281E+04
  0.129680E+01  0.684600E+05  0.361552E+04
  0.129905E+01  0.626840E+05  0.362584E+04
  0.130130E+01  0.596960E+05  0.360301E+04
  0.130355E+01  0.602320E+05  0.361101E+04
